,title,name,district,total_price,price,house_type,floor_loc,house_area,house_struc,real_area,archi_cate,house_toward,archi_struc,deco_condition,elevator_rate,elevator_equip
0,新上房源 精装修 不靠高架 近地铁一号线 诚意出售,花苑村玉兰园二手房,徐汇二手房,220,56981元/平米,1室1厅1厨1卫,高楼层 (共6层),38.61㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无
1,售后公房，满五唯一，南北通全明户型，小区中间，求知,龙吴路13弄二手房,徐汇二手房,382,63287元/平米,2室1厅1厨1卫,低楼层 (共6层),60.36㎡,平层,50.46㎡,板楼,西南,砖混结构,简装,一梯四户,无
2,南北通飞机户型，满五唯一精装修 ，一梯二户高得房率,虹叶茗园二手房,虹口二手房,978,84852元/平米,2室2厅1厨2卫,低楼层 (共22层),115.26㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有
3,高层电梯房、户型正气、精装修、无增值税、诚意出售,清涧三街坊二手房,普陀二手房,360,45329元/平米,2室1厅1厨1卫,中楼层 (共24层),79.42㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯八户,有
4,95年房龄+地铁口+精装修+边套全明+满五唯一+红旗,纪念小区二手房,虹口二手房,420,51458元/平米,2室1厅1厨1卫,低楼层 (共6层),81.62㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯四户,无
5,此房满五年 长寿800万以内全明三房，采光无遮挡！诚售,星海大厦二手房,普陀二手房,796,66339元/平米,3室1厅1厨2卫,高楼层 (共24层),119.99㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯六户,有
6,双南户型，采光充足；满五唯一，仅有契税；学籍未占用,梅园三街坊二手房,浦东二手房,575,121257元/平米,2室1厅1厨1卫,低楼层 (共6层),47.42㎡,平层,47.42㎡,板楼,南,砖混结构,简装,一梯四户,无
7,距离地铁站100米， 精装二房，动迁房，满五年唯一,银泰苑二手房,闵行二手房,359,42171元/平米,2室1厅1厨1卫,中楼层 (共11层),85.13㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有
8,满五， 二房朝南一房朝北，交通便利配套齐全近地铁,玉兰一村二手房,嘉定二手房,202,22697元/平米,3室1厅1厨1卫,高楼层 (共6层),89㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无
9,桂子月中落，天香云外飘，双南两房，枫桥路100米,曹杨七村二手房,普陀二手房,325,55528元/平米,2室1厅1厨1卫,低楼层 (共6层),58.53㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,无
10,一手动迁+满五唯一+得房率高+税费少+带院子,紫晶苑二手房,浦东二手房,340,42373元/平米,2室1厅1厨1卫,低楼层 (共6层),80.24㎡,平层,80㎡,板楼,南,钢混结构,简装,一梯两户,无
11,坦克户型+近地铁+电梯房+中间楼层+09年商品房,上大阳光乾恩园二手房,宝山二手房,650,43911元/平米,4室2厅1厨2卫,中楼层 (共6层),148.03㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有
12,诚意出售，婚房装修，近地铁，配套成熟,虹霞小区二手房,长宁二手房,296,61271元/平米,2室1厅1厨1卫,中楼层 (共6层),48.31㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无
13,三林前滩金光小区少有双南小2房，动迁税少,金光小区二手房,浦东二手房,355,64817元/平米,2室1厅0厨1卫,高楼层 (共6层),54.77㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,一梯三户,无
14,内环内滨江加隧道，地铁双规交通便利，满五唯一税费少,巨西小区二手房,浦东二手房,470,88763元/平米,2室1厅1厨1卫,高楼层 (共6层),52.95㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯四户,无
15,房源是精装修 拎包入住 看房方便 提前约,大木小区二手房,徐汇二手房,248,78259元/平米,1室0厅1厨1卫,高楼层 (共6层),31.69㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无
16,新装修，思南路泰康路，自住舒适，诚意出售,汇丽小区二手房,黄浦二手房,585,89862元/平米,2室1厅1厨1卫,高楼层 (共6层),65.1㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯五户,无
17,稀有3房 2楼 贴近大自然，业主急售，看房随时,新弘国际城(公寓)二手房,松江二手房,258,29206元/平米,3室2厅1厨1卫,低楼层 (共18层),88.34㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有
18,双南两房，中间楼层，采光好无遮挡，房东诚意出售,程桥一村二手房,长宁二手房,240,52152元/平米,2室1厅1厨1卫,中楼层 (共5层),46.02㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯四户,无
19,低楼层不爬楼，南北通，双轨地铁,大西小区二手房,虹口二手房,215,58424元/平米,1室1厅1厨1卫,低楼层 (共6层),36.8㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯四户,无
20,内环内花木+小区央位中间层+精装两房+税费少诚意卖,牡丹路186弄二手房,浦东二手房,455,68919元/平米,2室1厅1厨1卫,高楼层 (共6层),66.02㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,无
21,连城新苑品质小区 双轨道交通 安静位置 诚意出售,连城新苑二手房,浦东二手房,540,57829元/平米,2室2厅1厨1卫,中楼层 (共11层),93.38㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有
22,新上飞机户型三房，婚房装修，边套带全明双卫，诚意卖,大上海国际花园二区二手房,闵行二手房,600,60515元/平米,3室2厅1厨2卫,中楼层 (共7层),99.15㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无
